Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB,"Dwayne Haskins

D. Haskins",7,71,#32 QB,"6'3""",231,23,5/3/97,2,2019,1,15,Ohio State
QB,"Alex Smith

A. Smith",11,68,#42 QB,"6'4""",217,36,5/7/84,15,2005,1,1,Utah
RB,"Peyton Barber

P. Barber",34,74,#46 RB,"5'10""",228,26,6/27/94,5,2016,,,Auburn
RB,"Antonio Gibson

A. Gibson",24,71,#58 RB,"6'0""",228,22,6/23/98,0,2020,3,66,Memphis
WR,"Terry McLaurin

T. McLaurin",17,81,#39 WR,"6'0""",208,24,4/15/96,2,2019,3,76,Ohio State
WR,"JD McKissic

J. McKissic",41,76,#67 WR,"5'10""",190,27,8/15/93,4,2016,,,Arkansas State
WR,"Dontrelle Inman

D. Inman",80,74,#79 WR,"6'3""",198,31,1/31/89,7,2011,,,Virginia
WR,"Isaiah Wright

I. Wright",83,73,#86 WR,"6'1""",216,23,1/13/97,0,2020,,,Temple
WR,"Robert Foster

R. Foster",16,72,#97 WR,"6'2""",196,26,5/7/94,3,2018,,,Alabama
WR,"Steven Sims Jr.

S. Sims Jr.",15,71,#168 WR,"5'9""",181,23,3/31/97,2,2019,,,Kansas
WR,"Jeff Badet

J. Badet",84,69,#310 WR,"5'11""",183,26,8/2/94,1,2018,,,Oklahoma
WR,"Cam Sims

C. Sims",89,67,#141 WR,"6'5""",214,24,1/6/96,3,2018,,,Alabama
TE,"Logan Thomas

L. Thomas",82,68,#73 TE,"6'6""",248,29,7/1/91,6,2014,4,120,Virginia Tech
TE,"Jeremy Sprinkle

J. Sprinkle",87,67,#80 TE,"6'5""",256,26,8/10/94,4,2017,5,154,Arkansas
TE,"Temarrick Hemingway

T. Hemingway",88,67,#124 TE,"6'5""",229,27,7/30/93,3,2016,6,177,South Carolina State
C,"Chase Roullier

C. Roullier",73,77,#15 C,"6'3""",321,27,8/23/93,4,2017,6,199,Wyoming
C,"Keith Ismael

K. Ismael",60,67,#22 C,"6'3""",300,22,7/25/98,0,2020,5,156,San Diego State
OG,"Brandon Scherff

B. Scherff",75,89,#8 OG,"6'5""",319,28,12/26/91,6,2015,1,5,Iowa
OG,"Wes Martin

W. Martin",67,67,#46 OG,"6'2""",303,24,5/9/96,2,2019,4,131,Indiana
OT,"Morgan Moses

M. Moses",76,73,#36 OT,"6'6""",314,29,3/3/91,7,2014,3,66,Virginia
OT,"Cornelius Lucas

C. Lucas",78,67,#63 OT,"6'8""",316,29,7/18/91,6,2014,,,Kansas State
OT,"Wes Schweitzer

W. Schweitzer",71,67,#63 OT,"6'4""",290,27,9/11/93,5,2016,6,195,San Jose State
OT,"David Sharpe

D. Sharpe",72,67,#63 OT,"6'6""",344,25,10/21/95,4,2017,4,129,Florida
DT,"Da'ron Payne

D. Payne",94,86,#6 DT,"6'2""",311,23,5/27/97,3,2018,1,13,Alabama
DT,"Jonathan Allen

J. Allen",93,85,#7 DT,"6'3""",286,25,1/16/95,4,2017,1,17,Alabama
DT,"Tim Settle

T. Settle",97,67,#64 DT,"6'3""",329,23,7/11/97,3,2018,5,163,Virginia Tech
